title,date,content
일반적인 꼬다리댁은 뭘 사도 거기서 거기임 [9],2021-11-09 18:45:11,"꼬다리댁은 대부분 공간이 부족해서 dac 칩셋에 내장되어 있는 부품들만 사용해서 사실상 꼬다리댁 만들때 간단한 부품 몇개만 추가하고 usb-c랑 3.5 단자에 연결만 하면 끝인데
그러면 메이주 소나타 소캐에서 만든 제품이 아니라
ak ess 시러스로직 리얼텍에서 만든 제품 아니겠냐
이런 제품들이 시장에서 썩어넘쳐 흘러다니고 있는데
하나하나 소리 차이가 있다고 하는 것도 한심하고
하나하나 측정해서 줄세우고 있는것도 한심함
꼬다리댁 살거면 그냥 싸고 검증된 삼성이나 애플꺼 사고
더 제대로 된걸 사고싶으면 최소한 자기 회사 기술 들어간 l&p w2나 퀘스타일 m12같은걸 사라"
xm4 구매완료 [7],2021-11-09 18:44:52,"가격 싸게 잘 샀다 ㅋㅋ
- dc official App"
안드폰 쓰는애들 팁준다 [5],2021-11-09 18:44:12,"깔아라
- dc official App"
독수리 광군절 할인할까?,2021-11-09 18:43:15,"갤 검색해보니까 7마넌에도 샀다던데


나도 7만원에 사고 싶어"
게임용 사운드 카드 추천 좀 [1],2021-11-09 18:41:30,"사운드 블라스터x g1 이게 젤 많이뜨네
- dc official App"
나라가 돌아버린거냐 [3],2021-11-09 18:40:17,"https://www.chosun.com/national/regional/2021/11/08/ZJV6LWWA6BC4LCA3LLMG37FWVI/

단, 5초 그것도 아내는 신체 노출이 팔 뿐이었는데도, 성적수치심 유발했다며 벌금형 선고

1심은 성적수치심을 주지 않았다며 무죄, 2심은 유죄


퐁퐁단들 이제 이혼하기도 빡세노 ㅋㅋㅋ"
득삼플 노이즈 이슈있나보네 ㅋㅋㅋ [8],2021-11-09 18:39:58,"역시 싼게 비지떡인가 ㅋㅋ
e30 l30으로 바로간다"
잘지내시죠ㅋㅋ,2021-11-09 18:38:01,"ㅇㄱㄹㅇ
- dc official App"
앞으로는 업무에 업자라도 들어간 업무적 고충은 꺼내지도않은 김에 모해ㅋㅋ [2],2021-11-09 18:37:53,"ㅇㄱㄹㅇ
- dc official App"
빨리 프로젝트 일부 시니어 항목 마무리 짓고 집가고 싶어 왕씨팔ㅋㅋ,2021-11-09 18:37:00,"ㅇㄱㄹㅇ
- dc official App"
