title,date,content
칸잘못없다,2021-11-06 22:14:28,"야소는 팀원이 진입해주면 들가는역할임

예티 탑의 시각이다"
싹쓸이 ㅇㅇ,2021-11-06 22:13:20,- dc official App
왤케 춥나 했더니,2021-11-06 22:12:47,창문 다 열어놨누 ㅆㅂ
ㅂㅂ,2021-11-06 22:12:29,"이헤갤 노잼이네 ㅋㅋ

롤갤켜놔야지
- dc official App"
머리는 직접 자르는게 아니더라,2021-11-06 22:11:17,"미용실에서 짧게 깍아달랬다는거에서 실수하고

집에서 더 깍아보겠다고 가위질하다

거울보고 눈물흘림"
칸이 오늘 3세트 내내 싸다가 3대0,2021-11-06 22:11:01,이글은 성지가댄다
국내에서 롤드컵이면 로나로나땅이 노래불렀다,2021-11-06 22:11:00,ㅎㅎ
저 짜장 씨팝 뭐냐 bts 어디갔냐 씨발 짜장들,2021-11-06 22:09:53,"차라리 미쿠짱 팬티뜀박질을 틀어라 씨발 짜장새끼들아




- dc official App"
짱이라 치면 채팅 벤되노 ㅋㅋ,2021-11-06 22:09:51,짱을 짱이라 못하는 세상 ㅋㅋ
순대 모양이 똥칩같은게 겁나 맛있네 ㅇㅇ,2021-11-06 22:08:37,- dc official App
젠지 준우승,2021-11-06 22:07:11,"ㅇㅈㄹ 응 담원우승이야
- dc official App"
근데롤도 솔직히 요새 개씹노잼인듯,2021-11-06 22:06:58,"롤드컵도 담원 슼이랑 오늘경기밖에 볼맘안들고

롤비유튜브도 아예안본지 오래

롤도안한지 꽤 됨

사실 내가 롤할때도 아니긴 하지

어푸야 담원 슼보다 라스트듀얼이 훨잼더라


- dc official App"
오늘 음부는 여기까지,2021-11-06 22:06:56,띠구둥당
650이 600보다 세계적으로 더 판매량이 많긴 한가보네,2021-11-06 22:05:54,아마존 리뷰 수 보니가 650이 더 많음
순대국 특대에 이거 많이 넣는거 정상임 ㅇㅇ?,2021-11-06 22:04:52,- dc official App
티원 이기고 올라갔으면 ㅆㅂ 좆발라야지,2021-11-06 22:04:50,- dc official App
강사연 아직도 안여냐?,2021-11-06 22:03:17,위드코로나인데 슬슬 열어주지
정신 똑바로 차리고 살아 임마들 현실 호락 호락하지 않으니까 ㅇㅇ,2021-11-06 22:02:21,"ㅇㄱㄹㅇ
- dc official App"
고닉들 다 데이트 갔냐 ㅠㅠ,2021-11-06 21:58:49,갤이 왜이리 조용한거임
담원 왜처맞고있냐? ㅋㅋ,2021-11-06 21:56:19,"바이퍼가 구마유시에비해 더 존나쌘느낌이긴하지
- dc official App"
내 취향엔 600보단 650 6xx이 나은 듯,2021-11-06 21:55:16,"극저역 조금이나마 더 나옴

고역대야 600대비 조금 어둡더라"
삼번들이 구리게 들린다=,2021-11-06 21:54:33,내 덱앰 쓰레기에요
레프릭 사장님 이어폰만으로 생계유지가 어려워 투잡 ㅜㅜ,2021-11-06 21:53:39,"왜 손을못터는거냐 그정도면 ㅋㅋ

막말로 뜨레첸토가 z1r소리 두들겨 패도

세간의 평가는 35만원대에 드라이버 수도 적어서 차이파이에 비해 메리트 없는 국산이어폰일텐데 말이지

내가 사장이면 걍 폐업함
- dc official App"
블투 이어폰은 아무리 발전해도 유선 이어폰 음질 못 따라옴?,2021-11-06 21:51:19,"ㅇㅇ? 

아니면 이제 저런거 의미 없나? "
수월우나 텐치짐 이어폰들 들으려면 어디로 가야함??,2021-11-06 21:50:44,"수월우 텐치짐등 잘만든 짱깨이어폰 청음하려면

서울에서 어디로 가야함??

셰에는 짱깨 취급 안함?"
"헤드폰이 원래 좌우밸런스 다른거냐, 내 귀가 이상한거냐",2021-11-06 21:50:40,"대체적으로 중저음부에서 오른쪽이 더 웅장하고 낮게, 왼쪽이 얇고 높게 들림

주파수 재생기로 확인해봤는데, 차이는 고주파로 갈수록 차이가 줄어들긴 함



스피커 따질때도 마스터 슬레이브 구조때문에 내부구성이 달라서 약간 차이가 난다고 들었는데,

블투헤드폰도 대부분 모듈이나 기능들을 오른쪽에다 넣잖아

보스700이랑 베이어 라군 둘 다 그러는데 내 귀가 이상한거냐 헤드폰이 이상한거냐
- dc official App"
dt900x 믹싱용으로 사도 되냐,2021-11-06 21:50:15,"흐드륙 대신 이걸로 믹싱 해도 되냐
스피커는 공간 없어서 못산다
아마추어로 가볍게 할거다"
니들 더라 아냐,2021-11-06 21:49:14,요즘 다시 블로그 하더라 아 ㅋㅋ
롤드컵 누가 이기냐 ㄷㄷ,2021-11-06 21:46:39,"저 첨보는 짜장팀은 뭐냐

페이커 어디갔냐 ㄷㄷ




- dc official App"
유선 이어폰 처음사는데 알려주라,2021-11-06 21:45:21,"그냥 씹덕노래듣는 인간인데  유선 이어폰좀 추천좀 해줘 원래 쓰던건 에어팟 프로인데 이거보다 음질이 더 좋았음 좋겠어 
10~20초중반 까지 투자할 의향이 있음 원래 미쳐가지고 생각없어 shure aonic 5 사려다가 정신차리고 여기다 글 쓴다
- dc official App"
삼번들은 절대 무시할거시 아니라는 말만함,2021-11-06 21:43:59,디락의 기초는삼번들로 시작되었다는 것만 말함
데코니 머시기 할인한다고 광고 떠서 들어가봄,2021-11-06 21:43:55,"와 너무 갖고 싶게 생겼다 ㅅㅂ ㅋㅋㅋㅋㅋㅋ
아니 시발 저게 뭐냐 ㅋㅋㅋㅋㅋㅋㅋ"
0db가 멋있긴해,2021-11-06 21:43:10,"이헤붕이 옆에있으니까 풍채가 도드라짐
- dc official App"
버즈2 컨셉도 이제 거의 뒤지기일보직전 ㅇㅇ,2021-11-06 21:43:02,"애들이 반응을안해준다

ㅇㄱㄹㅇ 딴거또만들어야됨

ㅇㅇㅋ"
막귀인데 노래 듣기 좋은 가성비 헤드폰 추천해줘,2021-11-06 21:42:18,"막귀고 헤드폰 써본적도 없어서
일단 싼 것 중에서 그나마 괜찮른 거면 돼
- dc official App"
qcyt13 두 달 됐는데 이어폰 오른쪽 개씹망인데?,2021-11-06 21:42:16,"20퍼인 거 확인하고 좀 쓰겠다 싶었는데
한 2분 있다가 꺼짐
- dc official App"
복귀했다 질문 받는다,2021-11-06 21:41:37,"오징어 박람회      간다고?



난 안가
- dc official App"
구클리어+블랙라벨 하고 종결해라,2021-11-06 21:41:00,저음이 최고야
좆망갤 탈갤한..,2021-11-06 21:40:50,"한...하...한...ㄷ....하....




- dc official App"
아..그냥 삼번들 빌런이었구나,2021-11-06 21:39:50,괜히 열심히 답변달아줌
근데 600 굳이 선호하는 이유가 뭐임?,2021-11-06 21:39:19,"서브베이스 더 잘 나오는 6xx이 더 나은 듯

다만 싼티나는 코팅은.."
내가 올라갈 곳이란 이제 내 눈빛밖에 업어 ㅇㅇ,2021-11-06 21:36:57,"ㅇㄱㄹㅇ
- dc official App"
오디오박람회 거기 가봐야겟다 삼번들 대차게 퇴짜놓은 수준으로,2021-11-06 21:36:42,"내 고급귀에 맞는 사운드 찾아봐야될거같음

1억은 넘어야될듯"
요즘 에어팟3 나온거 보고,2021-11-06 21:36:18,"음향기기 전혀 관심없다가 프로 2세대 나오면 종결을 하는게 좋다고 생각함.

DAP나 DAC나 나오는거 보면 기존 제품을 뛰어나게 대체하는 신제품이 없다."
k371 z7 차이 얼마나 크냐,2021-11-06 21:32:47,오줌쌀정도?
HD600이 그렇게 좋냐?,2021-11-06 21:32:10,"앰프 좋은거 물리면 측정지던 뭐던 흐드륙이 최강이다 라는 소리를 어디서 들었는데...
진짜 흐드륙이 가장 좋은 소리를 내주는거면 흐드륙 이상 가격의 헤드폰 내놓은 업체들은 다 파산했어야 하는거 아니냐?

청음해봤을 때 슴슴하고 무난한 소리를 내줘서 좋다고 느끼긴 했는데 막 최고다 이정도는 아니었던거 같아서 물어봄
- dc official App"
그냥 내 귀가 존나 고급진거같음 삼번들 쓰레기로 들리는거보면,2021-11-06 21:32:09,이렇게 뽕차네
내가원하는 나의모습과 니가 필요로하는모습이 다르다는 고통 난그저그대로인데,2021-11-06 21:32:08,- dc official App
난 폭동화가 ㅋㅋㄷㄷ좌인 줄 알았지,2021-11-06 21:31:33,고닉 두세명이 그렇다길래 그런가보다 했다 ㅇㅇ
ㅋㅋㄷㄷ좌는 대체 뭐 하는 넘이냐,2021-11-06 21:30:52,"저번에 뭐 질문 올리니까 꼬오오옥 사라 ㅇㅈㄹ하면서 시비 존나 걸드라

내가 아는 건 가끔 Vpn으로도 그러는 듯 하고 시비 엄청 걺


몇달 전부터 온 애고 그냥 유동인가봄?

내 생각엔 탈갤고닉 중 한놈이거나 유입정병인 거 같음

근데 저런 애들 놀기 쉬운 물이란 건 이해가 됨 디시가"
근거없는 믿음이 세상에서 제일 무서운거임,2021-11-06 21:29:14,"주장에는 이유가 있어야하고 그걸 뒷받침 할 근거를 찾고 난 다음 주장해야 그게 맞말이 됨

말을 떠나서 글을 쓸때도 가장 먼저 배우는게 주장-이유-근거임.

프레임씌우기-정치질-물타기로만 승부하면
여론은 돌릴 수 있을지 모르나

나중에 결과지표보면 결과는 정직하게 나오는 경우가 많던

삼성광신도들 보며 느끼는 점
- dc official App"
이어팟은 귀에 어떻게 착용하냐에 따라서,2021-11-06 21:27:57,"저음 괴물 이어폰이 될 수도 있고

플랫 이어폰이 될 수도 있고

저음 실종 이어폰이 될 수도 있음 "
아니 내껀 삼번들 이건데,2021-11-06 21:27:49,왜 흰샛리 더 고급져보이냐 내꺼 짭임?
나는 리버티3프로가 현존 최강의 무선이어폰이라 본다,2021-11-06 21:26:43,"통품은 이견의 여지가 없는 원탑이고

노캔도 측정치 보면 마크4 이상이다. 게다가 미크4나 버프가 취약한 바람소리도 잘막음

주변소리듣기도 패치로 매우 좋아짐



음질은 조금 모자라지만 ""업데이트""로 반드시 해결해줄 것임

얘네들 공홈 가보면 EQ 콘테스트도 열어가면서 업데이트각 보고 있음

이게 바로 최강이 아니면 뭐겠음
- dc official App"
야야 근데 노캔 자체가 귀건강에 악영향 끼치기도 하냐?,2021-11-06 21:25:44,"요즘 하루에 한 2,3번?
가만히 있다가도 귀가 욱씬욱씬하고 2분정도 아픈 현상이 있음.
그래서 몇개월정도 이어폰 헤드폰으로 음악 안듣고 지내려고함.

인터넷 검색 잠깐해보니까 보통 이 현상 나타날때 병원가면 3m귀마개같은거 끼고 다니게 하더라?

그래서 그냥 요즘은 집에만 있으니까
뭐 무게나 그런거 다 떠나서,(목 굵음)
팟맥스나 wh4같은거 사가지고 음악은 아예안듣고 집에서 노캔용으로 헤드폰 끼고다닐까 하는 생각중임.


귀에 부담안주려고 껴보려는건데
노캔자체가 귀에 악영향을 끼치기도 함?

그러니까
아무것도 안끼고있을때 --> 보다 --> 노캔만 돌아갈때가
귀에 피해를 더 주는건지 아닌건지 모르겠슴

아는사람.."
삼번들이 그렇게 저평가 당할 사운드가,2021-11-06 21:24:12,아닌? 데?
ㅋㅋㄷㄷ좌가 동화로 아는데,2021-11-06 21:23:10,왜 흰샛리 더 고급져보이냐 내꺼 짭임?
유선충들 언제방빼냐 ㅇㅇ,2021-11-06 21:23:02,"통품은 이견의 여지가 없는 원탑이고

노캔도 측정치 보면 마크4 이상이다. 게다가 미크4나 버프가 취약한 바람소리도 잘막음

주변소리듣기도 패치로 매우 좋아짐



음질은 조금 모자라지만 ""업데이트""로 반드시 해결해줄 것임

얘네들 공홈 가보면 EQ 콘테스트도 열어가면서 업데이트각 보고 있음

이게 바로 최강이 아니면 뭐겠음
- dc official App"
ksc75랑 포타프로 질문,2021-11-06 21:21:37,"요즘 하루에 한 2,3번?
가만히 있다가도 귀가 욱씬욱씬하고 2분정도 아픈 현상이 있음.
그래서 몇개월정도 이어폰 헤드폰으로 음악 안듣고 지내려고함.

인터넷 검색 잠깐해보니까 보통 이 현상 나타날때 병원가면 3m귀마개같은거 끼고 다니게 하더라?

그래서 그냥 요즘은 집에만 있으니까
뭐 무게나 그런거 다 떠나서,(목 굵음)
팟맥스나 wh4같은거 사가지고 음악은 아예안듣고 집에서 노캔용으로 헤드폰 끼고다닐까 하는 생각중임.


귀에 부담안주려고 껴보려는건데
노캔자체가 귀에 악영향을 끼치기도 함?

그러니까
아무것도 안끼고있을때 --> 보다 --> 노캔만 돌아갈때가
귀에 피해를 더 주는건지 아닌건지 모르겠슴

아는사람.."
스크들이 몰갤이자 몰갤이 곧 스크임 ㅇㅇ,2021-11-06 21:21:17,아닌? 데?
당신이란 사람 정말 몸서리 처질정도로 조온나 끔찍해 ㅇㅇ,2021-11-06 21:20:31,ㅇㅇ
진훈이 리즈시절 정리해줌 ㅇㅇ,2021-11-06 21:19:40,"싹다쳐내야됨

ㅇㄱㄹㅇ"
근데 짭진훈 점마는 정체가 뭐임?,2021-11-06 21:19:08,ksc75랑 포타프로랑 각각 비슷한 성향 가지면서 상위 기종인 헤드폰은 무엇인가요?
키좀큰거같음 ㅇㅇ,2021-11-06 21:18:57,ㅇㄱㄹㄷ
근데 dsd음원은 꼭 dap에만 넣을수있어?,2021-11-06 21:18:45,- dc official App
아니씨발 왜 오늘 고장남,2021-11-06 21:17:28,"칼들고 동네산책

ㅇㄱㄹㅇ"
으사몰 공구중인 이지팁스 첫번째꺼,2021-11-06 21:17:07,우리가 알던 짭진훈이 찐이고 찐진훈이 짭 아니냐
질문좀 v30쿼드dac 키고 듣다가 dts3d사운드인가 그거키니까,2021-11-06 21:15:46,"175정도였는데

운동해서 자세교정돼서그런지

요새 176느낌임

ㅇㄱㄹㅇ"
요즘 dap들 스트리밍도되냐? 된다고하던데,2021-11-06 21:13:41,아이폰에는 안들어감?
앙 기모찌...,2021-11-06 21:11:45,"내일 쉬잖아 씨발

이어폰없이 하루를 어캐버티노"
나를 갈라 이 안에 너를 들여놓고 왜이럴수밖에업는지 보여주고 싶은데 ㅇㅇ,2021-11-06 21:10:55,신기하게 이압이 없다 근데 소리가 퍼진다
스크를 쓰다보면 유혹을 받게되는건 사실임,2021-11-06 21:08:34,"안들리던 하이햇 소리가 존나 경쾌하게 들리는데

씨발 도대체 사운드 어떻게 잡아야되는거임?

어제 삼번들 첨사고 지금 이거저거 들어보는 중인데

좋은스피커 이어폰 들어본적도 없는데 존나 불만족스럽네 씨발

그냥 노래가 다 비빔밥이야 악기 각자 소리가 있긴 있는데

구분이 존나 안됨"
정진욱은 3대 몇 치는?,2021-11-06 21:06:52,ak꺼 뭐 애플뮤직도된다그러던데 트루임??
지금 고닉 몰갤<<<<2ㅡ3년전의 그 유동 몰갤임?,2021-11-06 21:05:18,"ㅠㅠ.

- dc official App"
유선충들 이어폰 보일때마다 개박살내야됨 ㅇㅇ,2021-11-06 21:02:50,- dc official App
